                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.0108,                0.66941,                 1.0819,                0.93141,                0.91663,                0.97467,                0.76019,                0.85207,                0.50508,                0.99075,              0.0011605,              0.0011605,              0.0011605
                    108,                0.98477,                 0.6711,                 1.0714,                 0.9459,                 0.9175,                0.97542,                 0.7709,                0.81835,                 0.4921,                0.97303,              0.0011526,              0.0011526,              0.0011526
                    109,                 1.0051,                0.67968,                 1.0836,                0.92837,                 0.9397,                0.97881,                0.77613,                0.82442,                 0.4868,                0.97701,              0.0011446,              0.0011446,              0.0011446
                    110,                0.98107,                0.67062,                 1.0721,                0.93302,                0.94031,                0.97935,                0.77934,                0.80924,                0.48221,                0.97022,              0.0011367,              0.0011367,              0.0011367
                    111,                0.97564,                0.65328,                 1.0616,                0.95639,                  0.932,                0.98308,                0.78663,                0.80123,                0.46736,                0.95875,              0.0011288,              0.0011288,              0.0011288
                    112,                0.98422,                0.67095,                   1.07,                0.94374,                0.92258,                 0.9808,                0.78112,                0.81035,                 0.4748,                 0.9775,              0.0011209,              0.0011209,              0.0011209
                    113,                 0.9689,                0.65511,                   1.06,                0.90699,                0.95076,                0.97238,                0.77498,                0.80225,                0.47585,                0.96229,               0.001113,               0.001113,               0.001113
                    114,                0.99986,                 0.6797,                 1.0849,                0.95521,                 0.9275,                0.97605,                0.77187,                 0.8243,                0.47582,                0.98006,               0.001105,               0.001105,               0.001105
                    115,                0.95423,                0.64424,                 1.0514,                0.94717,                0.94133,                0.97546,                0.78967,                0.76208,                0.45676,                0.94811,              0.0010971,              0.0010971,              0.0010971
                    116,                0.97032,                0.65149,                 1.0634,                0.91769,                0.94769,                0.97715,                0.78116,                0.79385,                0.46698,                0.96245,              0.0010892,              0.0010892,              0.0010892
                    117,                0.98701,                0.66387,                 1.0673,                0.93984,                0.93727,                0.98276,                0.79499,                0.77659,                0.45427,                0.95451,              0.0010813,              0.0010813,              0.0010813
                    118,                0.95672,                0.64174,                 1.0556,                0.93492,                 0.9575,                0.98193,                0.79163,                0.78011,                0.45371,                0.95174,              0.0010734,              0.0010734,              0.0010734
                    119,                0.96193,                0.64407,                 1.0626,                0.92381,                  0.945,                0.97532,                0.78813,                0.75564,                0.46531,                0.94783,              0.0010654,              0.0010654,              0.0010654
                    120,                0.95091,                0.64243,                 1.0486,                  0.959,                0.93566,                0.98377,                0.79548,                0.77425,                0.44907,                0.95067,              0.0010575,              0.0010575,              0.0010575
                    121,                0.95467,                0.64493,                 1.0579,                0.93003,                 0.9575,                 0.9781,                0.78563,                0.78908,                0.45716,                0.95606,              0.0010496,              0.0010496,              0.0010496
                    122,                0.93577,                0.62644,                 1.0445,                 0.9595,                 0.9325,                0.98099,                0.78126,                0.78552,                0.44893,                0.95273,              0.0010417,              0.0010417,              0.0010417
                    123,                0.96437,                0.62986,                  1.053,                0.94332,                 0.9625,                0.98427,                0.80107,                0.75631,                 0.4365,                0.94494,              0.0010338,              0.0010338,              0.0010338
                    124,                0.94673,                0.63074,                 1.0432,                0.94815,                0.96003,                0.98712,                0.79888,                0.74959,                0.43376,                0.94239,              0.0010258,              0.0010258,              0.0010258
                    125,                0.94956,                0.61475,                 1.0542,                0.94846,                0.96617,                0.98591,                0.79398,                0.77477,                0.43427,                0.95207,              0.0010179,              0.0010179,              0.0010179
                    126,                0.95705,                0.64405,                 1.0487,                0.94671,                 0.9625,                0.98316,                0.80355,                0.73388,                0.42801,                0.93436,                0.00101,                0.00101,                0.00101
                    127,                0.91696,                0.61135,                  1.035,                0.95755,                0.95872,                0.98712,                0.81289,                0.72017,                0.41208,                0.93135,              0.0010021,              0.0010021,              0.0010021
                    128,                0.92065,                0.60218,                 1.0376,                0.96091,                 0.9675,                0.98906,                  0.819,                0.71069,                0.40181,                   0.92,             0.00099416,             0.00099416,             0.00099416
