                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.2101,                0.93725,                 1.2003,                0.76426,                  0.855,                0.85451,                0.59898,                 1.0748,                0.81191,                 1.1348,              0.0013318,              0.0013318,              0.0013318
                     57,                  1.196,                0.91767,                 1.1874,                0.80318,                0.78553,                0.85567,                0.57949,                 1.1171,                0.82197,                 1.1539,              0.0013194,              0.0013194,              0.0013194
                     58,                 1.1648,                0.91214,                 1.1713,                0.80056,                 0.8025,                0.87674,                0.61044,                  1.094,                0.78581,                 1.1446,               0.001307,               0.001307,               0.001307
                     59,                 1.1738,                0.93912,                 1.1792,                0.80235,                  0.835,                0.86398,                0.60421,                 1.0591,                0.78695,                 1.1128,              0.0012946,              0.0012946,              0.0012946
                     60,                 1.1709,                0.90778,                 1.1738,                0.81129,                0.77386,                0.85164,                0.59681,                 1.0852,                0.80831,                 1.1355,              0.0012822,              0.0012822,              0.0012822
                     61,                 1.1796,                 0.9004,                 1.1799,                0.81302,                0.84788,                0.89126,                0.63823,                 1.0256,                0.74981,                 1.0976,              0.0012699,              0.0012699,              0.0012699
                     62,                 1.1596,                0.88296,                 1.1723,                0.84021,                0.80185,                0.87569,                0.62045,                  1.059,                0.75884,                 1.1239,              0.0012575,              0.0012575,              0.0012575
                     63,                  1.175,                0.89086,                 1.1809,                0.80811,                 0.8525,                0.88902,                0.63536,                 1.0282,                0.74928,                 1.0995,              0.0012451,              0.0012451,              0.0012451
                     64,                 1.1494,                0.86769,                 1.1612,                 0.8324,                 0.7925,                0.86904,                0.60509,                 1.0883,                0.80994,                   1.13,              0.0012328,              0.0012328,              0.0012328
                     65,                  1.142,                0.86192,                 1.1548,                0.82582,                 0.8475,                0.88756,                0.63687,                 1.0506,                0.73962,                 1.0963,              0.0012204,              0.0012204,              0.0012204
                     66,                 1.1477,                0.86714,                 1.1656,                 0.8174,                  0.835,                0.87625,                0.62069,                 1.0449,                 0.7732,                 1.1046,               0.001208,               0.001208,               0.001208
                     67,                 1.1256,                0.85251,                 1.1542,                0.80549,                  0.865,                0.89606,                0.64156,                 1.0397,                0.71255,                 1.0963,              0.0011956,              0.0011956,              0.0011956
                     68,                 1.1574,                 0.8578,                 1.1701,                0.84452,                0.86909,                0.90474,                0.67135,                0.96961,                0.68892,                 1.0583,              0.0011833,              0.0011833,              0.0011833
                     69,                 1.1288,                0.84427,                 1.1463,                0.84941,                   0.85,                0.90903,                0.65924,                0.98156,                0.68859,                 1.0669,              0.0011709,              0.0011709,              0.0011709
                     70,                 1.1144,                0.82175,                 1.1486,                0.85569,                  0.855,                0.90967,                0.67578,                 0.9433,                0.68361,                 1.0584,              0.0011585,              0.0011585,              0.0011585
                     71,                 1.1088,                0.83392,                 1.1441,                 0.8659,                0.85558,                0.91003,                0.68036,                0.95814,                0.66967,                  1.054,              0.0011461,              0.0011461,              0.0011461
                     72,                   1.13,                0.83051,                 1.1538,                0.83094,                0.87241,                 0.9052,                0.65333,                0.99831,                0.69892,                 1.0771,              0.0011337,              0.0011337,              0.0011337
                     73,                 1.0921,                 0.8027,                 1.1277,                0.84451,                0.86898,                0.89864,                0.64629,                 1.0096,                  0.728,                  1.083,              0.0011214,              0.0011214,              0.0011214
                     74,                 1.1075,                0.81932,                  1.137,                0.90174,                0.87187,                0.93224,                0.68124,                0.94641,                0.66381,                 1.0483,               0.001109,               0.001109,               0.001109
                     75,                 1.1078,                0.81022,                 1.1401,                0.86569,                0.87017,                0.92311,                0.69235,                0.94127,                0.64937,                 1.0466,              0.0010966,              0.0010966,              0.0010966
                     76,                 1.0929,                0.80643,                  1.128,                0.83583,                 0.8825,                0.91561,                0.69879,                0.92758,                0.65077,                 1.0395,              0.0010842,              0.0010842,              0.0010842
                     77,                 1.0797,                0.79719,                 1.1264,                0.89022,                 0.8525,                0.93394,                 0.7118,                0.89758,                0.61526,                 1.0294,              0.0010719,              0.0010719,              0.0010719
                     78,                 1.0738,                0.77945,                  1.119,                0.85803,                 0.8575,                0.91753,                0.67127,                0.95696,                0.66507,                 1.0586,              0.0010595,              0.0010595,              0.0010595
                     79,                 1.0745,                0.78301,                 1.1157,                0.89233,                0.89096,                 0.9416,                0.70825,                0.92322,                0.60526,                  1.036,              0.0010471,              0.0010471,              0.0010471
                     80,                 1.0665,                0.76468,                  1.117,                0.84373,                  0.905,                 0.9302,                0.70143,                0.93217,                0.62462,                  1.035,              0.0010347,              0.0010347,              0.0010347
                     81,                 1.0716,                0.76161,                 1.1167,                0.90914,                 0.8775,                0.93673,                0.71557,                0.89017,                0.58944,                 1.0171,              0.0010224,              0.0010224,              0.0010224
                     82,                 1.0519,                0.76967,                 1.1067,                0.88537,                0.86888,                0.93618,                0.72272,                0.89134,                0.59994,                 1.0204,                0.00101,                0.00101,                0.00101
                     83,                 1.0632,                0.75829,                 1.1176,                0.90256,                 0.9125,                0.94713,                0.72376,                 0.8899,                0.58293,                 1.0145,             0.00099763,             0.00099763,             0.00099763
                     84,                 1.0523,                0.74144,                 1.1054,                0.87716,                0.91043,                0.94922,                0.72163,                0.89789,                0.59164,                 1.0152,             0.00098525,             0.00098525,             0.00098525
                     85,                 1.0508,                0.73874,                 1.1015,                0.90288,                0.90646,                0.95132,                0.73673,                0.86344,                0.55992,                 1.0012,             0.00097287,             0.00097287,             0.00097287
                     86,                 1.0492,                 0.7474,                 1.1039,                0.92846,                  0.885,                0.94978,                0.72333,                0.89732,                0.56024,                 1.0168,              0.0009605,              0.0009605,              0.0009605
                     87,                 1.0198,                0.72312,                 1.0894,                0.90324,                 0.9175,                0.95927,                0.74128,                0.86228,                0.56873,                 1.0013,             0.00094812,             0.00094812,             0.00094812
                     88,                 1.0242,                0.73254,                 1.0929,                0.90983,                0.90806,                 0.9565,                0.74355,                  0.857,                0.55602,                 1.0063,             0.00093575,             0.00093575,             0.00093575
                     89,                 1.0359,                0.74644,                 1.0933,                0.89766,                   0.91,                0.94871,                0.72551,                0.87428,                0.58045,                 1.0065,             0.00092338,             0.00092338,             0.00092338
                     90,                 1.0308,                0.73518,                 1.0943,                0.91641,                0.93187,                0.96653,                0.75024,                0.84677,                0.54152,                0.99468,               0.000911,               0.000911,               0.000911
